Institution,Deutsche Übersetzung,Ort,Institutionstyp,Status,Land
Seacom Skills University,,Bolpur (West Bengal),Status ungeklärt,H +/-,Indien
SGT UniversityShree Guru Gobind Singh Tricentenary University,,Gurugram (Haryana),Private University,H+,Indien
Shaheed Bhagat Singh State University,,Ferozepur (Punjab),State University,H+,Indien
Shaheed Mahendra Karma VishwavidyalayaBastar Vishwavidyalaya,,Bastar (Chhattisgarh),State University,H+,Indien
Shaheed Nandkumar Patel Vishwavidyalaya,,Raigarh (Chhattisgarh),State University,H+,Indien
"Shanmugha Arts, Science, Technology and Research AcademySASTRA Deemed UniversitySASTRA University",,Thanjavur (Tamil Nadu),Deemed to be University,H+,Indien
Sharda University,,Noida (Uttar Pradesh),Private University,H+,Indien
Sharnbasva University,,Kalaburagi (Karnataka),Status ungeklärt,H +/-,Indien
Sher-e-Kashmir University of Agricultural Sciences and Technology of Jammu,,Jammu (Jammu & Kashmir),State University,H+,Indien
Sher-e-Kashmir University of Agricultural Sciences and Technology of Kashmir,,Srinagar (Jammu & Kashmir),State University,H+,Indien
Sher-i-Kashmir Institute of Medical Sciences,,Srinagar (Jammu & Kashmir),"Institution, staatlich anerkannt",H+,Indien
Shiv Nadar University,,Gautam Budh Nagar (Uttar Pradesh),Deemed to be University,H+,Indien
Shiv Nadar University,,Kalavakkam (Tamil Nadu),Private University,H+,Indien
Shivaji University,,Kolhapur (Maharashtra),State University,H+,Indien
Shobhit Institute of Engineering & Technology,,Meerut (Uttar Pradesh),Deemed to be University,H+,Indien
Shobhit University,,Gangoh (Uttar Pradesh),Status ungeklärt,H +/-,Indien
Shoolini University of Biotechnology and Management Sciences,,Bajhol (Himachal Pradesh),Private University,H+,Indien
Shree Somnath Sanskrit University,,Junagarh (Gujarat),State University,H+,Indien
Shreyarth University,,Ahmedabad (Gujarat),Status ungeklärt,H +/-,Indien
Shri Dharmasthala Manjunatheshwara University,,Dharwad (Karnataka),Status ungeklärt,H +/-,Indien
Shri Govind Guru University,,Godhra (Gujarat),State University,H+,Indien
Shri Guru Ram Rai University,,Dehradun (Uttarakhand),Private University,H+,Indien
Shri Jagannath Sanskrit Vishvavidyalaya,,Puri (Odisha),State University,H+,Indien
Shri Jagdishprasad Jhabarmal Tibrewala UniversityShri Jagdish Prasad Jhabarmal Tibrewala University,,Jhunjhunu (Rajasthan),Status ungeklärt,H +/-,Indien
Shri Kallaji Vedic Vishvavidyalaya,,Chittorgarh (Rajasthan),Private University,H+,Indien
Shri Khushal Das University,,Hanumangarh (Rajasthan),Status ungeklärt,H +/-,Indien
Shri Krishna Ayush University,,Kurukshetra (Haryana),State University,H+,Indien
Shri Krishna University,,Chhatarpur (Madhya Pradesh),Status ungeklärt,H +/-,Indien
Shri Lal Bahadur Shastri Rashtriya Sanskrit Vidyapeetha,,New Delhi (Delhi),Central University,H+,Indien
Shri Mata Vaishno Devi University,,Katra (Jammu & Kashmir),State University,H+,Indien
Shri Ramasamy Memorial University,,Gangtok (Sikkim),Status ungeklärt,H +/-,Indien
Shri Ramswaroop Memorial University,,Lucknow (Uttar Pradesh),Private University,H+,Indien
Shri Rawatpura Sarkar University,,Raipur (Chhattisgarh),Private University,H+,Indien
Shri Shankaracharya Professional University,,Durg (Chhattisgarh),Status ungeklärt,H +/-,Indien
Shri Vaishnav Vidyapeeth Vishwavidyalaya,,Indore (Madhya Pradesh),Private University,H+,Indien
Shri Venkateshwara University,,Gajraula (Uttar Pradesh),Status ungeklärt,H +/-,Indien
Shri Vishwakarma Skill University,,Gurugram (Haryana),State University,H+,Indien
Shridhar UniversitySridhar University,,Pilani (Rajasthan),Nicht anerkannte Hochschule,H -,Indien
Shyam University,,Dausa (Rajasthan),Nicht anerkannte Hochschule,H -,Indien
Siddharth University,,Siddharth Nagar (Uttar Pradesh),State University,H+,Indien
Siddhartha Academy of Higher Education,,Vijayawada (Andhra Pradesh),Deemed to be University,H+,Indien
Sidho-Kanho-Birsha University,,Purulia (West Bengal),State University,H+,Indien
Sido Kanhu Murmu University,,Dumka (Jharkhand),State University,H+,Indien
"Sikkim Manipal UniversitySikkim Manipal University of Health, Medical and Technological Sciences",,Gangtok (Sikkim),Private University (mit zum Teil anerkannten Abschlüssen),H +/-,Indien
Sikkim National Law UniversitySikkim Government Law College,,Gangtok (Sikkim),State University,H+,Indien
Sikkim Professional UniversityVinayaka Missions Sikkim University,,Tadong (Sikkim),Status ungeklärt,H +/-,Indien
Sikkim Skill University,,Namthang (Sikkim),Status ungeklärt,H +/-,Indien
Sikkim University,,Gangtok (Sikkim),Central University,H+,Indien
Siksha 'O' AnusandhanShiksha 'O' Anusandhan,,Bhubaneswar (Odisha),Deemed to be University,H+,Indien
Silver Oak University,,Ahmedabad (Gujarat),Status ungeklärt,H +/-,Indien
Singhania University,,Jhunjhunu (Rajasthan),Nicht anerkannte Hochschule,H -,Indien
"Sir JJ School of Art, Architecture & Design",,Mumbai (Maharashtra),Deemed to be University,H+,Indien
Sir Padampat Singhania University,,Udaipur (Rajasthan),Private University,H+,Indien
Sister Nivedita University,,Kolkata (West Bengal),Status ungeklärt,H +/-,Indien
SNDT Women's University,,Mumbai (Maharashtra),State University,H+,Indien
Soban Singh Jeena University,,Almora (Uttarakhand),State University,H+,Indien
Somaiya Vidyavihar University,,Mumbai (Maharashtra),Private University,H+,Indien
South Asian University,,New Delhi (Delhi),Central University,H+,Indien
Spicer Adventist University,,Pune (Maharashtra),Private University,H+,Indien
SR University,,Warangal (Telangana),Private University,H+,Indien
Sree Bodhi Academy of Higher Education,,Puducherry (Puducherry),Nicht anerkannte Hochschule,H -,Indien
Sree Chitra Tirunal Institute for Medical Sciences and Technology,,Thiruvananthapuram (Kerala),Institution of National Importance,H+,Indien
Sree Sankaracharya University of Sanskrit,,Kalady (Kerala),State University,H+,Indien
Sreenarayanaguru Open University,,Kollam (Kerala),State University,H+,Indien
Sri Aurobindo International Centre of Education,,Puducherry (Puducherry),Nicht anerkannte Hochschule,H -,Indien
Sri Aurobindo University,,Indore (Madhya Pradesh),Status ungeklärt,H +/-,Indien
Sri Balaji University,,Pune (Maharashtra),Status ungeklärt,H +/-,Indien
Sri Balaji Vidyapeeth,,Puducherry (Puducherry),Deemed to be University,H+,Indien
Sri Chandrasekharendra Saraswathi Viswa Mahavidyalaya,,Kanchipuram (Tamil Nadu),Deemed to be University,H+,Indien
Sri Dev Suman Uttarakhand VishwavidyalayaSri Dev Suman Uttarakhand University,,Tehri Garhwal (Uttarakhand),State University,H+,Indien
Sri Devaraj Urs Academy of Higher Education and Research,,Kolar (Karnataka),Deemed to be University,H+,Indien
Sri Guru Granth Sahib World University,,Fatehgarh Sahib (Punjab),Private University,H+,Indien
Sri Guru Ram Das University of Health Sciences,,Amritsar (Punjab),Private University,H+,Indien
Sri Guru Teg Bahadur State University of Law,,Tarn Taran (Punjab),State University,H+,Indien
Sri Jagadguru Murugharajendra University,,Chitradurga (Karnataka),Status ungeklärt,H +/-,Indien
Sri Konda Laxman Telangana State Horticultural University,,Hyderabad (Telangana),State University,H+,Indien
Sri Krishnadevaraya University,,Anantapur (Andhra Pradesh),State University,H+,Indien
Sri Padmavati Mahila Visvavidyalayam,,Tirupati (Andhra Pradesh),State University,H+,Indien
Sri Ramachandra Institute of Higher Education and ResearchSri Ramachandra Medical College and Research InstituteSri Ramachandra University,,Chennai (Tamil Nadu),Deemed to be University,H+,Indien
Sri Sai University,,Palampur (Himachal Pradesh),Private University,H+,Indien
Sri Sathya Sai Institute of Higher Learning,,Prasanthinilayam (Andhra Pradesh),Deemed to be University,H+,Indien
Sri Sathya Sai University For Human Excellence,,Kalaburagi (Karnataka),Private University,H+,Indien
Sri Satya Sai University of Technology and Medical Sciences,,Sehore (Madhya Pradesh),Private University,H+,Indien
Sri Siddhartha Academy of Higher Education,,Tumkur (Karnataka),Deemed to be University,H+,Indien
Sri Sri Aniruddhadeva Sports University,,Dibrugarh (Assam),State University,H+,Indien
Sri Sri University,,Cuttack (Odisha),Private University,H+,Indien
Sri Venkateswara Institute of Medical Sciences,,Tirupati (Andhra Pradesh),State University,H+,Indien
Sri Venkateswara University,,Tirupati (Andhra Pradesh),State University,H+,Indien
Sri Venkateswara Vedic University,,Tirupati (Andhra Pradesh),State University,H+,Indien
Sri Venkateswara Veterinary University,,Tirupati (Andhra Pradesh),State University,H+,Indien
Srimanta Sankaradeva University of Health Sciences,,Guwahati (Assam),State University,H+,Indien
Srinath University,,Jamshedpur (Jharkhand),Status ungeklärt,H +/-,Indien
Srinivas University,,Mangalore (Karnataka),Private University,H+,Indien
SRM Institute of Science and TechnologySri Ramaswamy Memorial Institute of Science and TechnologySRM University,,Kattankulathur (Tamil Nadu),Deemed to be University,H+,Indien
SRM University AP,,Guntur (Andhra Pradesh),Status ungeklärt,H +/-,Indien
"SRM University, Delhi-NCR",,Sonepat (Haryana),Private University,H+,Indien
SS International University,,,Nicht anerkannte Hochschule,H -,Indien
St. Aloysius,,Mangalore (Karnataka),Deemed to be University,H+,Indien
St. John's University,,Kishanttam (Kerala),Nicht anerkannte Hochschule,H -,Indien
St. Joseph University,,Dimapur (Nagaland),Status ungeklärt,H +/-,Indien
St. Peter's Institute of Higher Education and Research,,Chennai (Tamil Nadu),Deemed to be University,H+,Indien
St. Peter's Pontifical Institute,,Bangalore (Karnataka),Katholische Hochschule Kanonischen Rechts,H+,Indien
St. Xavier's University,,Kolkata (West Bengal),Status ungeklärt,H +/-,Indien
Starex University,,Gurugram (Haryana),Status ungeklärt,H +/-,Indien
State University of Performing and Visual ArtsPandit Lakhmi Chand State University of Performing and Visual Arts,,Rohtak (Haryana),State University,H+,Indien
Sumandeep Vidyapeeth,,Vadodara (Gujarat),Deemed to be University,H+,Indien
Sunrise University,,Alwar (Rajasthan),Nicht anerkannte Hochschule,H -,Indien
Surajmal University,,Udham Singh Nagar (Uttarakhand),Status ungeklärt,H +/-,Indien
Surendranagar University,,Surendranagar (Gujarat),Status ungeklärt,H +/-,Indien
Suresh Gyan Vihar University,,Jaipur (Rajasthan),Private University,H+,Indien
Sushant UniversityAnsal University,,Gurugram (Haryana),Private University,H+,Indien
SVKM's Narsee Monjee Institute of Management StudiesNMIMS,,Mumbai (Maharashtra),Deemed to be University,H+,Indien
Swami Keshwanand Rajasthan Agriculture UniversityRajasthan Agriculture University,,Bikaner (Rajasthan),State University,H+,Indien
Swami Rama Himalayan University,,Dehradun (Uttarakhand),Private University,H+,Indien
Swami Ramanand Teerth Marathwada University,,Nanded (Maharashtra),State University,H+,Indien
Swami Vivekanand Subharti University,,Meerut (Uttar Pradesh),Private University,H+,Indien
Swami Vivekanand UniversitySwami Vivekananda UniversitySri Vivekanand Niji University,,Sagar (Madhya Pradesh),Private University,H+,Indien
Swami Vivekananda University,,Kolkata (West Bengal),Status ungeklärt,H +/-,Indien
Swami Vivekananda Yoga Anusandhana Samsthana,,Bangalore (Karnataka),Deemed to be University,H+,Indien
Swaminarayan University,,Gandhinagar (Gujarat),Status ungeklärt,H +/-,Indien
Swarnim Gujarat Sports University,,Gandhinagar (Gujarat),State University,H+,Indien
Swarnim Startup & Innovation University,,Gandhinagar (Gujarat),Private University,H+,Indien
Symbiosis InternationalSymbiosis International (Deemed University)Symbiosis International University,,Pune (Maharashtra),Deemed to be University,H+,Indien
Symbiosis Skills and Professional UniversitySymbiosis Skills and Open University,,Pune (Maharashtra),Private University,H+,Indien
Symbiosis University of Applied Sciences,,Indore (Madhya Pradesh),Private University,H+,Indien
Tamil Nadu Agricultural University,,Coimbatore (Tamil Nadu),State University,H+,Indien
Tamil Nadu Music and Fine Arts University,,Chennai (Tamil Nadu),State University,H+,Indien
Tamil Nadu National Law UniversityTamil Nadu National Law School,,Tiruchirappalli (Tamil Nadu),State University,H+,Indien
Tamil Nadu Open University,,Chennai (Tamil Nadu),State University,H+,Indien
Tamil Nadu Teacher Education University,,Chennai (Tamil Nadu),State University,H+,Indien
Tamil Nadu Veterinary and Animal Sciences University,,Chennai (Tamil Nadu),State University,H+,Indien
Tamil University,,Thanjavur (Tamil Nadu),State University,H+,Indien
Tamilnadu Dr. J. Jayalalithaa Fisheries University,,Nagapattinam (Tamil Nadu),State University,H+,Indien
Tamilnadu Physical Education and Sports University,,Chennai (Tamil Nadu),State University,H+,Indien
Tantia University,,Sri Ganganagar (Rajasthan),Private University,H+,Indien
Tata Institute of Fundamental Research,,Mumbai (Maharashtra),Deemed to be University,H+,Indien
Tata Institute of Social Sciences,,Mumbai (Maharashtra),Deemed to be University,H+,Indien
Team Lease Skills University,,Vadodara (Gujarat),Private University,H+,Indien
Techno Global University,,Sironj (Madhya Pradesh),Status ungeklärt,H +/-,Indien
"Techno Global University, Shillong",,Shillong (Meghalaya),Nicht anerkannte Hochschule,H -,Indien
Techno India University,,Kolkata (West Bengal),Status ungeklärt,H +/-,Indien
Teerthanker Mahaveer University,,Moradabad (Uttar Pradesh),Private University,H+,Indien
Telangana University,,Nizamabad (Telangana),State University,H+,Indien
TERI School Of Advanced StudiesTERI University,,New Delhi (Delhi),Deemed to be University,H+,Indien
Tezpur University,,Tezpur (Assam),Central University,H+,Indien
Thapar Institute of Engineering and TechnologyThapar University,,Patiala (Punjab),Deemed to be University,H+,Indien
The English and Foreign Languages UniversityCentral Institute of English and Foreign Languages,,Hyderabad (Telangana),Central University,H+,Indien
The Global University,,Itanagar (Arunachal Pradesh),Status ungeklärt,H +/-,Indien
The Indian Law Institute,,New Delhi (Delhi),Deemed to be University,H+,Indien
The Indira Gandhi National Tribal University,,Amarkantak (Madhya Pradesh),Central University,H+,Indien
The Indira Gandhi Technological & Medical Sciences University,,Ziro (Arunachal Pradesh),Status ungeklärt,H +/-,Indien
The Neotia University,,Kolkata (West Bengal),Private University,H+,Indien
The NorthCap UniversityITM University (veraltet),,Gurugram (Haryana),Private University,H+,Indien
The Sanskrit College and University,,Kolkata (West Bengal),State University,H+,Indien
The Tamil Nadu Dr. Ambedkar Law University,,Chennai (Tamil Nadu),State University,H+,Indien
The Tamil Nadu Dr. M.G.R. Medical University,,Chennai (Tamil Nadu),State University,H+,Indien
The University of Burdwan,,Bardhaman (West Bengal),State University,H+,Indien
The University of Trans-Disciplinary Health Sciences and Technology,,Bangalore (Karnataka),Private University,H+,Indien
The West Bengal National University of Juridical SciencesNational University of Juridical Sciences,,Kolkata (West Bengal),State University,H+,Indien
The West Bengal University of Health Sciences,,Kolkata (West Bengal),State University,H+,Indien
"The West Bengal University of Teachers' Training, Education Planning and Administration",,Kolkata (West Bengal),State University,H+,Indien
Thiruvalluvar University,,Vellore (Tamil Nadu),State University,H+,Indien
Thunchath Ezhuthachan Malayalam University,,Malappuram (Kerala),State University,H+,Indien
Tilak Maharashtra Vidyapeeth,,Pune (Maharashtra),Deemed to be University,H+,Indien
Tilka Manjhi Bhagalpur University,,Bhagalpur (Bihar),State University,H+,Indien
Tripura University,,Suryamaninagar (Tripura),Central University,H+,Indien
Tumkur University,,Tumkur (Karnataka),State University,H+,Indien
U.P. Pandit Deen Dayal Upadhyaya Pashu Chikitsa Vigyan Vishwavidyalaya Evam Go-Anusandhan Sansthan,,Mathura (Uttar Pradesh),State University,H+,Indien
U.P. Rajarshi Tandon Open University,,Allahabad (Uttar Pradesh),State University,H+,Indien
Uka Tarsadia University,,Surat (Gujarat),Private University,H+,Indien
United Nations University,,New Delhi (Delhi),Nicht anerkannte Hochschule,H -,Indien
United University,,Prayagraj (Uttar Pradesh),Status ungeklärt,H +/-,Indien
University of Agricultural Sciences,,Bangalore (Karnataka),State University,H+,Indien
University of Agricultural Sciences,,Dharwad (Karnataka),State University,H+,Indien
University of Agricultural Sciences,,Raichur (Karnataka),State University,H+,Indien
University of Allahabad,,Allahabad (Uttar Pradesh),Institution of National Importance,H+,Indien
University of Calcutta,,Kolkata (West Bengal),State University,H+,Indien
University of Calicut,,Malappuram (Kerala),State University,H+,Indien
University of Delhi,,New Delhi (Delhi),Central University,H+,Indien
University of Engineering & Management Jaipur,,Jaipur (Rajasthan),Private University,H+,Indien
University of Engineering and Management Kolkata,,Kolkata (West Bengal),Status ungeklärt,H +/-,Indien
University of Gour Banga,,Malda (West Bengal),State University,H+,Indien
University of Horticultural Sciences,,Bagalkot (Karnataka),State University,H+,Indien
University of Hyderabad,,Hyderabad (Telangana),Central University,H+,Indien
University of Jammu,,Jammu (Jammu & Kashmir),State University,H+,Indien
University of Kalyani,,Kalyani (West Bengal),State University,H+,Indien
University of Kashmir,,Srinagar (Jammu & Kashmir),State University,H+,Indien
University of Kerala,,Thiruvananthapuram (Kerala),State University,H+,Indien
University of Kota,,Kota (Rajasthan),State University,H+,Indien
University of LadakhThe Ladakh University,,Ladakh,State University,H+,Indien
University of Lucknow,,Lucknow (Uttar Pradesh),State University,H+,Indien
University of Madras,,Chennai (Tamil Nadu),State University,H+,Indien
University of MumbaiMumbai UniversityUniversity of Bombay,,Mumbai (Maharashtra),State University,H+,Indien
University of Mysore,,Mysore (Karnataka),State University,H+,Indien
University of North Bengal,,Darjeeling (West Bengal),State University,H+,Indien
University of Patanjali,,Haridwar (Uttarakhand),Status ungeklärt,H +/-,Indien
University of Petroleum and Energy Studies,,Dehradun (Uttarakhand),Private University,H+,Indien
University of Rajasthan,,Jaipur (Rajasthan),State University,H+,Indien
University of Science & Technology,,Baridua (Meghalaya),Private University,H+,Indien
University of Technology,,Jaipur (Rajasthan),Nicht anerkannte Hochschule,H -,Indien
University of Visvesvaraya College of Engineering,,Bengaluru (Karnataka),State University,H+,Indien
UP King George's University of Dental Sciences,,Lucknow (Uttar Pradesh),State University,H+,Indien
UPL University of Sustainable Technology,,Bharuch (Gujarat),Status ungeklärt,H +/-,Indien
Usha Martin University,,Ranchi (Jharkhand),Status ungeklärt,H +/-,Indien
Utkal University,,Bhubaneswar (Odisha),State University,H+,Indien
Utkal University of Culture,,Bhubaneswar (Odisha),State University,H+,Indien
Uttar Banga Krishi VishwavidyalayaNorth Bengal Agriculture University,,Cooch Behar (West Bengal),State University,H+,Indien
Uttar Pradesh University of Medical SciencesU.P. Das Rural Institute of Medical Sciences and Research,,Saifai (Uttar Pradesh),State University,H+,Indien
Uttar Pradesh Vishwavidyalaya,,Mathura (Uttar Pradesh),Nicht anerkannte Hochschule,H -,Indien
Uttarakhand Ayurved University,,Dehradun (Uttarakhand),State University,H+,Indien
Uttarakhand Open University,,Nainital (Uttarakhand),State University,H+,Indien
Uttarakhand Sanskrit University,,Haridwar (Uttarakhand),State University,H+,Indien
Uttarakhand Technical University,,Dehradun (Uttarakhand),State University,H+,Indien
Uttaranchal University,,Dehradun (Uttarakhand),Private University,H+,Indien
Vanita Vishram Women's University,,Surat (Gujarat),Status ungeklärt,H +/-,Indien
Varanaseya Sanskrit Vishwavidyalaya,,New Delhi (Delhi),Nicht anerkannte Hochschule,H -,Indien
Vardhaman Mahaveer Open University,,Kota (Rajasthan),State University,H+,Indien
Vasantrao Naik Marathwada Krishi VidyapeethMarathwada Agricultural University,,Parbhani (Maharashtra),State University,H+,Indien
Veer Bahadur Singh Purvanchal UniversityVBS Purvanchal UniversityPurvanchal University,,Jaunpur (Uttar Pradesh),State University,H+,Indien
Veer Chandra Singh Garhwali Uttarakhand University of Horticulture & Forestry,,Pauri Garhwal (Uttarakhand),State University,H+,Indien
Veer Kunwar Singh University,,Arrah (Bihar),State University,H+,Indien
Veer Narmad South Gujarat University,,Surat (Gujarat),State University,H+,Indien
Veer Surendra Sai Institute Of Medical Science And Research,,Sambalpur (Odisha),State University,H+,Indien
Veer Surendra Sai University of TechnologyUniversity College of Engineering,,Sambalpur (Odisha),State University,H+,Indien
Vel Tech Rangarajan Dr. Sagunthala R & D Institute of Science and Technology,,Chennai (Tamil Nadu),Deemed to be University,H+,Indien
Vellore Institute of TechnologyVIT University,,Vellore (Tamil Nadu),Deemed to be University,H+,Indien
Vels Institute of Science Technology & Advanced StudiesVels University,,Chennai (Tamil Nadu),Deemed to be University,H+,Indien
Venkateshwara Open University,,Naharlagun (Arunachal Pradesh),Status ungeklärt,H +/-,Indien
Vidyajyoti College of TheologyVidyajyoti Faculty of Theology,,New Delhi (Delhi),Katholische Hochschule Kanonischen Rechts,H+,Indien
Vidyasagar University,,Midnapore (West Bengal),State University,H+,Indien
Vidyashilp University,,Bengaluru (Karnataka),Status ungeklärt,H +/-,Indien
"Vignan's Foundation for Science, Technology and ResarchVignan's University",,Guntur (Andhra Pradesh),Deemed to be University,H+,Indien
Vijayanagara Sri Krishnadevaraya University,,Bellary (Karnataka),State University,H+,Indien
Vijaybhoomi University,,Karjat (Maharashtra),Status ungeklärt,H +/-,Indien
Vikram University,,Ujjain (Madhya Pradesh),State University,H+,Indien
Vikrama Simhapuri University,,Nellore (Andhra Pradesh),State University,H+,Indien
Vinayaka Mission's Research FoundationVinayaka Missions University (VMU),,Salem (Tamil Nadu),Status ungeklärt,H +/-,Indien
Vinoba Bhave University,,Hazaribagh (Jharkhand),State University,H+,Indien
Vishwakarma Open University for Self-employment,,New Delhi (Delhi),Nicht anerkannte Hochschule,H -,Indien
Vishwakarma University,,Pune (Maharashtra),Private University,H+,Indien
Visva-Bharati,,Santiniketan (West Bengal),Institution of National Importance,H+,Indien
Visvesvaraya National Institute of Technology,,Nagpur (Maharashtra),Institution of National Importance,H+,Indien
Visvesvaraya Technological UniversityVisveswaraiah Technological University (veraltet),,Belgaum (Karnataka),State University,H+,Indien
Viswa Bharathi University,,Raipur (Chhattisgarh),Nicht anerkannte Hochschule,H -,Indien
VIT BhopalVIT Bhopal University,,Sehore (Madhya Pradesh),Private University,H+,Indien
VIT-AP University,,Guntur (Andhra Pradesh),Private University,H+,Indien
Vivekananda Global University,,Jaipur (Rajasthan),Private University,H+,Indien
Vocational University,,New Delhi (Delhi),Nicht anerkannte Hochschule,H -,Indien
West Bengal State University,,Kolkata (West Bengal),State University,H+,Indien
West Bengal University of Animal and Fishery Sciences,,Kolkata (West Bengal),State University,H+,Indien
William Carey University,,Shillong (Meghalaya),Status ungeklärt,H +/-,Indien
World University of Design,,Sonepat (Haryana),Status ungeklärt,H +/-,Indien
Woxsen University,,Hyderabad (Telangana),Status ungeklärt,H +/-,Indien
XIM UniversityXavier University,,Bhubaneswar (Odisha),Private University,H+,Indien
Yashwantrao Chavan Maharashtra Open University,,Nashik (Maharashtra),State University,H+,Indien
YBN University,,Ranchi (Jharkhand),Status ungeklärt,H +/-,Indien
Yenepoya Deemed to be University,,Mangalore (Karnataka),Deemed to be University,H+,Indien
Yogi Vemana University,,Kadapa (Andhra Pradesh),State University,H+,Indien
